model,task_id,n_requests,output_tokens_mean,output_tokens_median,output_tokens_p90,output_tokens_max,cumulative_output_at_end,latency_ms_mean,verbosity_index
gpt-5.4-nano-2026-03-17,t05,80,16.6,16.0,18.0,18,1328,527.0,17.0
gpt-5.4-nano-2026-03-17,t06,160,12.0,12.0,12.0,12,1920,716.8,12.0
gpt-5.4-nano-2026-03-17,t07,80,112.0,39.0,293.6,389,8956,1230.0,112.0
gpt-5.4-nano-2026-03-17,t08,74,14.0,14.0,14.0,14,1036,607.7,14.0
gpt-5.4-nano-2026-03-17,t09,160,16.7,16.0,18.0,18,2674,921.0,17.0
gpt-5.4-nano-2026-03-17,t10,232,309.7,369.0,631.9,1016,71846,7382.5,310.0
gpt-5.4-nano-2026-03-17,t11,160,13.0,13.0,13.0,13,2080,647.6,13.0
gpt-oss-20b,t01,80,1175.5,577.5,2695.9,5989,94042,6479.8,1176.0
gpt-oss-20b,t02,80,1419.3,744.5,3637.5,9849,113541,8527.6,1419.0
gpt-oss-20b,t03,89,1836.3,1207.0,4149.6,10652,163434,10511.7,1836.0
gpt-oss-20b,t04,80,1658.2,850.5,3698.5,16543,132653,9788.8,1658.0
gpt-oss-20b,t05,80,1270.2,644.0,3240.4,7386,101618,4203.6,1270.0
gpt-oss-20b,t06,160,1585.6,595.0,4090.6,12628,253695,6248.1,1586.0
gpt-oss-20b,t07,80,885.6,375.0,1930.9,9460,70851,2978.8,886.0
gpt-oss-20b,t08,74,1412.0,780.5,3085.7,9043,104488,5917.0,1412.0
gpt-oss-20b,t09,160,1041.0,478.5,2275.1,9744,166555,6342.2,1041.0
gpt-oss-20b,t10,161,714.8,20.0,1721.0,9769,115082,3736.8,715.0
gpt-oss-20b,t11,160,764.1,479.5,1958.0,5706,122261,4511.6,764.0
qwen3-235b-a22b-instruct-2507,t01,80,19.8,20.0,20.0,20,1585,508.0,20.0
qwen3-235b-a22b-instruct-2507,t02,80,39.1,39.0,40.0,40,3127,618.5,39.0
qwen3-235b-a22b-instruct-2507,t03,160,17.5,17.5,22.0,24,2806,435.7,18.0
qwen3-235b-a22b-instruct-2507,t04,80,36.6,37.0,37.0,37,2927,537.0,37.0
