model,reward_point,reward_ci_lo,reward_ci_hi,reward_se,deleg_auc_point,deleg_auc_ci_lo,deleg_auc_ci_hi,deleg_auc_se,mcc_own_error_point,mcc_own_error_ci_lo,mcc_own_error_ci_hi,mcc_own_error_se,mcc_hardness_point,mcc_hardness_ci_lo,mcc_hardness_ci_hi,mcc_hardness_se,deleg_rate_point,deleg_rate_ci_lo,deleg_rate_ci_hi,deleg_rate_se,declarative_source,accuracy_point,accuracy_ci_lo,accuracy_ci_hi,ece_point,ece_ci_lo,ece_ci_hi,brier_point,brier_ci_lo,brier_ci_hi
gemma-3-27b-it,0.52,0.412078125,0.634375,0.05651840976343459,0.6538461538461539,0.5904974489795919,0.723227969348659,0.03373338397728295,0.36689969285267143,0.25907975336991707,0.4790053908158911,0.05822178923636967,0.11470786693528087,0.0540474745331175,0.17987687463498542,0.03203207012176816,0.2,0.11843750000000013,0.2875,0.045631807711288414,answered_only,0.4375,0.328125,0.5625,0.55859375,0.43154296875000003,0.671875,0.5634765625,0.4384765625,0.673828125
gemma-3-4b-it,0.3625,0.2625,0.4690624999999997,0.053615855863727475,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.3625,0.2625,0.4690624999999997,0.6312500000000001,0.5233593750000001,0.7328906249999999,0.6265625,0.5202734375,0.7265625
gemma-4-26b-a4b-it,0.8305084745762712,0.7288135593220338,0.9152542372881356,0.048753010941277014,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.8305084745762712,0.7288135593220338,0.9152542372881356,0.1610169491525424,0.06557203389830518,0.26271186440677974,0.1716101694915254,0.0858050847457627,0.2733050847457627
gemma-4-31b-it,0.875,0.75,0.96875,0.05894581728163585,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.875,0.75,0.96875,0.0625,0.0,0.1640625,0.078125,0.01953125,0.1484375
glm-5,1.0,1.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4-2026-03-05,0.655,0.55246875,0.7406562499999999,0.04933310404472335,0.7073170731707317,0.6378789893617022,0.7804878048780488,0.03640626405560863,0.506634267562435,0.3820953549607409,0.6197456819785385,0.061722745861710025,0.11917286644580191,0.05481989671273182,0.18333643871284466,0.033031061976167765,0.2125,0.13093750000000012,0.3,0.04411955348822107,answered_only,0.6190476190476191,0.5079365079365079,0.746031746031746,0.21031746031746032,0.09126984126984126,0.3293650793650794,0.2767857142857143,0.19193948412698414,0.3651785714285713
gpt-5.4-mini-2026-03-17,0.5375,0.425,0.6440624999999998,0.05658277122941223,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.5375,0.425,0.6440624999999998,0.43437500000000007,0.32648437500000005,0.546875,0.43203125,0.32533203125,0.5422656249999999
gpt-5.4-nano-2026-03-17,0.49312500000000004,0.400890625,0.5841093749999999,0.04703877117602031,0.7459016393442623,0.6825396825396826,0.8125030584781012,0.03259219856365471,0.43230226219815154,0.31595586881903126,0.5553418889026422,0.06064041604000692,0.1777046633277277,0.08109239388798943,0.2658420425690855,0.04719288680097809,0.375,0.275,0.475,0.05434553224507053,answered_only,0.38,0.2495000000000002,0.5,0.235,0.11237500000000004,0.38,0.29875,0.25684375,0.34440624999999997
gpt-oss-20b,0.56625,0.467171875,0.6866406249999999,0.05384965639398268,0.5161290322580645,0.5128205128205128,0.5571428571428572,0.012462608898314138,0.1414502265767421,0.11535756471834645,0.26840095387139007,0.0431993358076195,0.025811286645983367,0.012658227848101266,0.05351749920934918,0.010752081205091314,0.0125,0.0,0.0375,0.011591241305399522,answered_only,0.620253164556962,0.5063291139240507,0.7341772151898734,0.24367088607594933,0.16139240506329114,0.35925632911392397,0.2950949367088608,0.21869066455696204,0.3722507911392405
qwen3-235b-a22b-instruct-2507,0.621875,0.521546875,0.7147656249999998,0.051420295892648266,0.6744186046511628,0.6010795454545454,0.7395833333333334,0.03502409324388436,0.4456106742297335,0.32524129651521383,0.5516248533115906,0.059732634558874134,0.11020775375559677,0.0480666224093525,0.1717110021883487,0.031178450916330838,0.1875,0.1,0.275,0.0430858082783647,answered_only,0.5692307692307692,0.45346153846153864,0.6923076923076923,0.4192307692307693,0.3018269230769231,0.5307692307692308,0.4182692307692308,0.30283653846153846,0.525
qwen3-coder-480b-a35b-instruct,0.5375,0.4375,0.6440624999999998,0.05446271660503174,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.5375,0.4375,0.6440624999999998,0.23125000000000007,0.12187500000000001,0.33125000000000004,0.3078125,0.24646484375000002,0.36369140625
qwen3-next-80b-a3b-instruct,0.45,0.35,0.5625,0.055573802281290774,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.45,0.35,0.5625,0.55,0.4375,0.65,0.55,0.4375,0.65
qwen3-next-80b-a3b-thinking,0.7777777777777778,0.4444444444444444,1.0,0.13728873781510337,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.7777777777777778,0.4444444444444444,1.0,0.2222222222222222,0.0,0.5555555555555556,0.2222222222222222,0.0,0.5555555555555556
